,maxAccelX,maxAccelY,maxAccelZ,maxGyroX,maxGyroY,maxGyroZ,minAccelX,minAccelY,minAccelZ,minGyroX,minGyroY,minGyroZ,meanAccelX,meanAccelY,meanAccelZ,meanGyroX,meanGyroY,meanGyroZ,sdAccelX,sdAccelY,sdAccelZ,sdGyroX,sdGyroY,sdGyroZ,pothole
131,-0.6677396360550505,-1.0001727283373172,-1.8197113223689576,-0.21143855691861999,-0.2797961597550296,-0.23822818168936152,-0.12839423160292285,-0.18957006439544224,-1.4661581860285882,0.4985452693997916,0.06567478011936347,0.7794837085881287,-0.7342450084558781,-1.7373075359741659,-2.116979493485156,0.7709928899779978,-0.259696896804952,0.38647699983900186,-0.2864084291168265,-0.519234495350413,-0.2971238009772516,-0.4855972525328137,-0.41061627033497916,-0.5065495577192768,False
132,-0.8589159381174448,-0.8525251808214858,-0.5839701248215173,-0.6287028188670212,-0.6222201641498941,-0.6735098417031388,0.5656070547250139,0.43395253085554686,-0.5175293959147279,0.6558365841026836,0.7691380381774452,0.8148629624694027,-0.1826861540250151,-0.6067470328828898,-0.9075150274829064,-0.1652709382871565,0.11315698445830086,0.03347401417238277,-0.8629330046401696,-0.7650647311843025,0.09446177253206177,-0.7377709368018266,-1.0052065551772762,-0.8976539479490451,False
133,0.03966501085557029,0.45024063175676565,0.5358844794554545,0.22455152312316448,-0.30526036641390886,-0.6647246220917827,0.401014444762058,0.7450417974652052,0.9981336379285325,-0.7473053549657998,0.6640268483280815,0.005473108350406825,0.38611650430923666,0.738936333414232,0.9541408624494458,-0.25927603011440015,0.20592530226958752,-0.48394307080162324,-0.2074873540841555,-0.1709440670282164,-0.5240577992974825,0.24422839340353023,-0.6703622014454118,-0.45289262107878336,False
134,0.07865032427796263,-0.16006611492031442,0.15475909927716874,-0.008907596822826538,-0.46961304880376115,-0.37204582118337065,0.695158453969142,0.3034563263233043,0.5293698845151912,0.32542954929001133,0.4988290577617455,0.27388954007173527,0.5814777799513993,0.33591459217249336,0.4339596825553557,-0.283686879996895,0.06652324732368094,-0.19847487918081486,-0.4097781110588903,-0.2981543566298925,-0.23057849889751564,-0.26996854641646256,-0.6372502421747804,-0.4509132936768731,False
135,-0.3917026853125878,-0.2847110130533997,-0.654725965597214,-0.3382096022300453,-0.24724959692150547,0.14190533495945357,0.19363112555591805,-0.13324164652144563,-0.632307011814329,0.3539422596907568,-0.10307913855293274,0.4342439481963982,-0.1899909506948132,-0.41240692436888143,-0.4956052998308741,0.1809475947851396,0.0191094655979529,0.06268235316658094,-0.1547022119970873,-0.10386939732797366,-0.16348901017386278,-0.3915601353434129,-0.14077962446207598,-0.19670081638678025,False
136,1.660215589606189,5.0315072058664425,-0.5067123959745404,5.67401243708398,0.1601898890808808,-0.13988340708881628,-0.17531239114712543,-0.4922283964425789,-0.4381793536359457,-0.06132308708904696,-0.060177847637028395,0.19496310627875324,0.23183770405553333,1.021674323186009,-0.545559761488195,4.060430357989721,0.011928460237127106,0.1529561006182429,1.128269266189709,3.344566813299435,-0.08350590764323444,2.947740926988124,0.10378461926847876,-0.12883546986502953,False
137,0.8697818188071531,0.14112128438671423,-1.3775829335218988,0.816250799130566,0.1869786120492952,-0.46553049485753095,-0.03363134203878774,-1.114529117119255,-1.6438752515215753,-0.2277671505448454,0.4477430504349659,0.5687860801018217,0.28556812661906444,-1.6807955249285356,-1.9589375061750898,-0.35170888340421685,0.04505591561389178,0.31750275695547464,0.8729071408072719,0.5780003587141981,0.13126210433129726,0.46384943808987356,-0.25669718226637733,-0.5269514956588209,False
138,-0.9254613388809516,-0.5639155848715106,-1.6687336567137887,-0.6262893010634158,-0.6949665581939712,-0.19850272848531056,0.08101069591391595,0.18982199091605362,-1.5096945230939574,0.14077923201236994,0.1856533819204289,0.41130221804328687,-0.9553692370587895,-0.7701621177201462,-2.081616541246641,-0.3383332487059148,-0.43720220412952443,0.28713815914186164,-0.4890890205251865,-0.4315915894512102,-0.1326088003613876,-0.36326082152235506,-0.5900654618500676,-0.39319193565840777,False
139,-0.5237469012443693,-1.183853982767978,-2.267959135283101,-0.41014831435028076,-0.732040835400538,-0.5348863031518124,0.20331799871136325,0.026457360335835633,-1.4297652834262757,0.3265410785503253,0.35929679655357327,0.3936352294785663,-0.3448675859700857,-1.768908710916539,-2.33190384398332,0.17389468043333794,-0.18784314448151518,-0.47145559605835363,-0.5130947121667784,-0.7381437365973437,-0.7735691132013968,-0.509325036533843,-0.8151373411215698,-0.5315661152708597,False
140,-0.6680884979201278,-0.7004584050991218,-0.71754567828591,-0.7910822754025308,-0.6770399150391042,-0.7700749882693017,0.6516938752890574,0.5304806222230536,-0.44261986695081673,0.7650989179547565,0.3885804376044631,0.7977438226018444,-0.008977715570312558,-0.34219395346645526,-0.5223482259169373,-0.010709338121265363,-0.12907242708177524,0.09635665900261667,-0.79998723601629,-0.7109291943301363,0.05467178650067001,-0.8838356405422128,-0.7463325632712616,-0.9260969304195608,False
141,-1.3080755894045484,-0.7397782047829182,-0.8030263832230354,-0.21841441744968004,-1.3328931961104094,0.5333941431779022,-0.6916648471721611,0.33852412660492837,0.08087803971321751,0.7802484663107382,-1.9911784728326338,1.0786430548031685,-1.8938020798226265,-0.7840054252118078,-0.36317815552575233,1.2920844457712217,-2.4241025940573135,1.8831898719161033,-0.37408604698121184,-0.7176174815989901,-0.8022289564682363,-0.6144660164483493,0.42933594974267514,-0.21689973838052404,False
142,-1.5737338996609596,0.6664428732457899,1.5205380582502102,1.1807328945564417,-1.5447670877941893,1.3515126380602396,-1.5897643392013505,0.07789827991274449,0.5056227915704461,0.5398504906625486,-2.6917097630887175,1.059083498011884,-2.9841037004094675,0.8306793840915949,1.4067351516574405,3.2971781908481566,-3.462394428331149,2.616113355755056,0.2061397619740756,0.3368209573366901,1.2783063947479654,0.5388927012024395,1.2620688608702268,0.09313853215987837,False
143,-0.3098945779519464,0.4316572105805602,1.689682764104548,-0.0340486078019616,0.06535756618350286,0.12737245881573167,-1.4660250638504868,0.38581067262927177,1.4069504615911181,-0.36423714035363436,-0.2447087513598738,-0.15882943253397838,-1.7515733917224268,1.1721001863408997,2.2740225909024017,-0.44950950678792634,-0.6736431126657604,0.7054441604972824,0.704846884505774,0.24131276830480994,0.07787817542450444,0.06223807646859618,0.15212412427018907,0.1813291978367495,False
