lat,lng,pothole
39.9875302,18.246275700000005,1
39.98753023,18.24627525,1
39.9875303,18.246274199999995,0
39.9875303,18.246274199999995,0
39.9875303,18.246274199999995,0
39.9875303,18.246274199999995,0
39.9875303,18.246274199999995,0
39.9875303,18.246274199999995,0
39.9875303,18.246274199999995,1
39.9875303,18.246274199999995,1
39.9875303,18.246274199999995,1
39.9875303,18.246274199999995,1
39.9875303,18.246274199999995,1
39.9875303,18.246274199999995,1
39.9875303,18.246274199999995,1
39.9875303,18.246274199999995,1
39.9875303,18.246274199999995,0
39.9875303,18.246274199999995,0
39.9875303,18.246274199999995,0
39.9875303,18.2462742,0
